인기 페이지,클릭수,노출,CTR,게재 순위
https://lifeverdict.com/home-repair,1,17,5.88%,10.29
https://lifeverdict.com/,0,21,0%,2.76
https://lifeverdict.com/home-repair/verdicts/san-francisco-oakland-ca/1950-1970.html,0,19,0%,13.16
https://lifeverdict.com/home-repair/verdicts/oklahoma-city-ok/1950-1970.html,0,14,0%,11.86
https://lifeverdict.com/home-repair/verdicts/new-orleans-metairie-la/1980-1995.html,0,13,0%,11.46
https://lifeverdict.com/home-repair/verdicts/madison-wi/1950-1970.html,0,10,0%,24.8
https://lifeverdict.com/home-repair/verdicts/abilene-tx/1950-1970.html,0,9,0%,7.11
https://lifeverdict.com/home-repair/verdicts/miami-ft-lauderdale-fl/pre-1950.html,0,9,0%,8.33
https://lifeverdict.com/home-repair/verdicts/worcester-ma-ct/1950-1970.html,0,9,0%,22.78
https://lifeverdict.com/home-repair/verdicts/worcester-ma-ct/1970-1980.html,0,8,0%,10
https://lifeverdict.com/home-repair/verdicts/honolulu-hi/1970-1980.html,0,8,0%,10.38
https://lifeverdict.com/home-repair/verdicts/boise-city-id/pre-1950.html,0,8,0%,21.5
https://lifeverdict.com/home-repair/verdicts/virginia-beach-norfolk-va/2010-present.html,0,7,0%,9.14
https://lifeverdict.com/home-repair/verdicts/durham-chapel-hill-nc/pre-1950.html,0,7,0%,49.57
https://lifeverdict.com/home-repair/verdicts/houston-the-woodlands-tx/1950-1970.html,0,6,0%,9
https://lifeverdict.com/home-repair/verdicts/pittsburgh-pa/2010-present.html,0,6,0%,12.33
https://lifeverdict.com/home-repair/verdicts/baltimore-columbia-md/1950-1970.html,0,5,0%,7.2
https://lifeverdict.com/home-repair/verdicts/san-jose-sunnyvale-ca/1970-1980.html,0,4,0%,3.75
https://lifeverdict.com/home-repair/verdicts/lexington-fayette-ky/1950-1970.html,0,4,0%,10
https://lifeverdict.com/home-repair/verdicts/akron-oh/1950-1970.html,0,4,0%,13.75
https://lifeverdict.com/home-repair/verdicts/erie-pa/1995-2010.html,0,4,0%,17
https://lifeverdict.com/home-repair/verdicts/albuquerque-nm/1970-1980.html,0,4,0%,17.25
https://lifeverdict.com/home-repair/verdicts/tucson-az/1950-1970.html,0,4,0%,17.75
https://lifeverdict.com/home-repair/verdicts/austin-round-rock-tx/1970-1980.html,0,4,0%,18
https://lifeverdict.com/home-repair/verdicts/des-moines-west-des-moines-ia/pre-1950.html,0,4,0%,30.25
https://lifeverdict.com/home-repair/verdicts/fort-collins-co/1950-1970.html,0,4,0%,44.5
https://lifeverdict.com/home-repair/verdicts/corpus-christi-tx/pre-1950.html,0,3,0%,3.33
https://lifeverdict.com/home-repair/verdicts/las-vegas-henderson-nv/pre-1950.html,0,3,0%,8.33
https://lifeverdict.com/home-repair/verdicts/mobile-al/1980-1995.html,0,3,0%,16.33
https://lifeverdict.com/home-repair/verdicts/boulder-co/2010-present.html,0,3,0%,19.67
https://lifeverdict.com/home-repair/verdicts/davenport-moline-ia-il/pre-1950.html,0,2,0%,3
https://lifeverdict.com/home-repair/verdicts/new-haven-milford-ct/1970-1980.html,0,2,0%,3
https://lifeverdict.com/home-repair/verdicts/chicago-naperville-il/1995-2010.html,0,2,0%,4.5
