"metro_code","metro_name","msa_name","state_code","labor_mult","climate_zone","regional_risk","fema_major_disaster_10y","owner_occupancy_rate_pct","median_year_built","legacy_housing_age_years","repair_pressure_index","source_fema","source_census_owner_occupancy","source_census_median_year_built","generated_at"
"ABILENE_TX","Abilene","Abilene, TX MSA","TX","0.88","2B","Arid Heat / Soil Expansion","17","62.58","1992","34","19.2","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"AKRON_OH","Akron","Akron, OH MSA","OH","0.96","5A","Basement Flooding / Snow","5","67.2","1970","56","20.4","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ALBANY_SCHENECTADY_NY","Albany Schenectady","Albany Schenectady, NY MSA","NY","1.18","5A","Heavy Snow Load","15","54.35","1959","67","48.6","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ALBUQUERQUE_NM","Albuquerque","Albuquerque, NM MSA","NM","0.94","3B","Extreme UV / Water Scarcity","7","69.97","1985","41","13.7","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ALLENTOWN_BETHLEHEM_PA","Allentown Bethlehem","Allentown Bethlehem, PA MSA","PA","1.12","5A","Radon Gas","6","69.33","1965","61","31.7","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"AMARILLO_TX","Amarillo","Amarillo, TX MSA","TX","0.89","3B","High Wind / Hail","17","62.58","1992","34","19.7","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ANCHORAGE_AK","Anchorage","Anchorage, AK MSA","AK","1.45","7","Seismic / Extreme Cold","22","66.84","1986","40","55","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ANN_ARBOR_MI","Ann Arbor","Ann Arbor, MI MSA","MI","1.22","5A","Energy Efficiency Codes","7","73.21","1972","54","33.8","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ASHEVILLE_NC","Asheville","Asheville, NC MSA","NC","1.02","4A","Slope Stability / Logistics","13","66.63","1991","35","21.5","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"ATLANTA_SANDY_SPRINGS_GA","Atlanta Sandy Springs","Atlanta Sandy Springs, GA MSA","GA","0.94","3A","Termite / Urban Sprawl","13","65.69","1992","34","17.2","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
"AUSTIN_ROUND_ROCK_TX","Austin Round Rock","Austin Round Rock, TX MSA","TX","1.15","2A","Clay Soil Heave","17","62.58","1992","34","31.8","https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries?%24select=state,disasterNumber,declarationType,declarationDate&%24filter=declarationDate%20ge%20%272016-01-01T00:00:00.000z%27%20and%20declarationType%20eq%20%27DR%27&%24top=20000","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25003_001E,B25003_002E&for=state:*","https://api.census.gov/data/2024/acs/acs5?get=NAME,B25035_001E&for=state:*","2026-02-28"
